algo,label,kind,dag,n,AppTO_mean_pct,AppTO_std_pct,D_succ_mean,D_succ_std,D_all_mean,D_all_std,E_mean,E_std,Util_succ_mean,Util_succ_std,Util_all_mean,Util_all_std
main3,CPGAPPO,research,chain,5,7.333333333333333,6.863753427324667,1.3804382377910884,0.15885971331321022,1.3564776999026311,0.136546454039613,0.20795560696992682,0.013996146035136913,0.31463204252781257,0.35569293073230884,0.3166208934597621,0.3536723591301638
main3,CPGAPPO,research,default,5,8.666666666666668,5.537749241945384,1.221597341062698,0.11936176493779752,1.1945326920110713,0.10232529080900042,0.20571972845185837,0.012098104352796723,0.27005320308850883,0.3369169090662867,0.2722230250988761,0.3352358593214984
main3,CPGAPPO,research,wide,5,2.6666666666666665,2.9439202887759492,0.43136193620485147,0.036087825689911736,0.4393676298941324,0.04653000827854613,0.12589163831230518,0.0074035349064307965,0.6690002768375176,0.09295304122616355,0.6690002768375176,0.09295304122616355
DGMA_adapt,DGMA_adapt,ext_rl,chain,5,12.666666666666668,6.4635731432217725,1.4035312536139806,0.15498425172061012,1.3643909491454334,0.12796618532148096,0.20855181262279082,0.012459893816094431,0.04379308693955343,0.41112482285772667,0.0467625147843197,0.4091131059604109
DGMA_adapt,DGMA_adapt,ext_rl,default,5,13.733333333333334,5.428320796219275,1.2412880280674714,0.10818841523370087,1.2032257516314122,0.08621925197882495,0.20548373432575634,0.01236749518048617,-0.0034515904289920464,0.3499685463651516,-0.00039853953370079797,0.34841041506958903
DGMA_adapt,DGMA_adapt,ext_rl,wide,5,4.933333333333334,5.609515724790034,0.4494792183275947,0.03907683587489795,0.44912583699672937,0.04075134362927534,0.1268232575602967,0.006770790238455062,0.5453818560752864,0.23920674606231368,0.5453818560752864,0.23920674606231368
DGMA_paper,DGMA_paper,ext_rl,chain,5,100.0,0.0,1.4526047813241263,0.14542111036451175,1.5549957853965704,0.04933199288070685,61.22156904204199,1.7926558125648167,-0.6831747109204397,0.06105815242435097,-0.6878592590923701,0.06093841527721704
DGMA_paper,DGMA_paper,ext_rl,default,5,100.0,0.0,1.2455252915834412,0.10298071500974047,1.366843689905072,0.044426088232187806,59.02514106740807,2.849078161738254,-0.6707536797291056,0.06088429546329341,-0.6763137806764773,0.06171618064463758
DGMA_paper,DGMA_paper,ext_rl,wide,5,92.53333333333333,7.935853941308254,0.39976275900968694,0.04723337182535462,0.5050468995791056,0.01264558715499809,36.58611582969586,0.7940755299705587,-0.5745264153667671,0.07962303672158091,-0.5745264153667671,0.07962303672158091
TransEdgeStyle,TransEdgeStyle,ext_rl,chain,5,17.599999999999998,2.476556749467561,1.4085553736781353,0.14562377679342398,1.373012406550909,0.12559109680125566,0.21997076461829573,0.0035253803446886963,-0.023139535764349926,0.391759193658211,-0.020480217339382756,0.39041914788262655
