dag,algo,kind,label,seed,app_timeout_rate,task_timeout_rate,energy,delay_succ,delay_all,E_succ,E_all,UtilityScore_succ,UtilityScore_all,score,runtime_min,inference_time_ms,D_all_src,has_reeval,src_dir,mtime
chain,main3,research,CPGAPPO,1,0.08,0.6873333333333334,0.2098752190916276,1.3849935436686929,1.366494791892745,0.2099822343107757,0.2099822343107757,0.3503933973850853,0.3518077906170658,8.701612703153264,46.78,6.334002617404069,result.json,False,main_comparison_20260824_203442,2026-08-24 21:21
chain,main3,research,CPGAPPO,3,0.1466666666666666,0.7393333333333333,0.2313019892802965,1.565145332999731,1.5080683997664786,0.2315022312333207,0.2315022312333207,-0.0939995878767284,-0.0890636616528857,76.53240502467087,45.63,6.275087545674806,result.json,False,main_comparison_20260824_203442,2026-08-24 22:07
chain,main3,research,CPGAPPO,5,0.1333333333333333,0.7413333333333333,0.2033642838905204,1.5085317923319828,1.4713037382745473,0.2032122919837442,0.2032122919837442,-0.0018630137897795,0.0013836157931795,57.28848600685893,47.68,6.627181447332378,result.json,False,main_comparison_20260821_155715,2026-08-21 16:45
chain,main3,research,CPGAPPO,7,0.0066666666666666,0.6176666666666667,0.1974985376768303,1.2171335860729176,1.210953128149029,0.1974565282088821,0.1974565282088821,0.6554573154672673,0.6557646356206108,1.2959657726037204,57.31,7.775330622972798,result.json,False,main_comparison_20260821_155715,2026-08-21 17:43
chain,main3,research,CPGAPPO,42,0.0,0.6566666666666666,0.1977380049103592,1.2263869338821174,1.2255684414303558,0.1975242405603106,0.1975242405603106,0.6631721014532185,0.66321208692084,1.3749687472413183,47.18,6.307811117043905,result.json,False,main_comparison_20260824_203442,2026-08-24 22:55
chain,alloff,ablation,alloff,1,0.1266666666666666,0.695,0.2105530204451071,1.384742297965264,1.358330607732674,0.2099016396209338,0.2099016396209338,0.016880975710634,0.0191835708077323,48.615409234784586,45.49,6.311745685786395,result.json,False,main_comparison_20260824_203442,2026-08-25 12:52
chain,alloff,ablation,alloff,3,0.18,0.7416666666666667,0.2320177461372665,1.58883537517665,1.5120391117820786,0.2320916833671142,0.2320916833671142,-0.2675274690770899,-0.2612983884376327,137.04859052298127,44.31,6.302034851650678,result.json,False,main_comparison_20260824_203442,2026-08-25 13:37
chain,alloff,ablation,alloff,5,0.16,0.734,0.2045480850998883,1.5119803303345427,1.4619723733764345,0.2040042280063775,0.2040042280063775,-0.2180994658513153,-0.2139418274631797,98.57218015226202,29.6,4.058158842113472,result.json,False,ablation_classic_chain_20260819_022418,2026-08-19 07:45
chain,alloff,ablation,alloff,7,0.0466666666666666,0.642,0.2010145307644027,1.2515846508691213,1.2337944927648266,0.1994593039641633,0.1994593039641633,0.5003565421316879,0.5015186861389139,1.34775062341687,32.07,4.229680471938008,result_reeval.json,True,ablation_classic_chain_20260608_114124,2026-06-09 22:22
chain,alloff,ablation,alloff,9,0.08,0.7043333333333334,0.1885540606325667,1.3144322861429565,1.2916193356010366,0.188172833119589,0.188172833119589,0.1923866526866146,0.1943017819668383,8.721130401363489,99.75,14.169867355883625,result.json,False,ablation_classic_chain_20260819_085455,2026-08-19 21:26
chain,alloff,ablation,alloff,11,0.1333333333333333,0.7423333333333333,0.2113907281876613,1.479698624146471,1.4287042876846512,0.2113004273167502,0.2113004273167502,-0.0876010554709191,-0.083186311602019,57.281246491095615,101.95,14.856094957137024,result.json,False,ablation_classic_chain_20260819_085504,2026-08-19 21:19
chain,alloff,ablation,alloff,42,0.0666666666666666,0.6783333333333333,0.204211165667816,1.2428591309845778,1.2269732178861197,0.2066664679636253,0.2066664679636253,0.4678316873033282,0.468913167565446,3.664685182708985,45.82,6.303242932392242,result.json,False,main_comparison_20260824_203442,2026-08-25 14:23
chain,fwdonly,ablation,fwdonly,1,0.06,0.6956666666666667,0.209821979674773,1.399786195977938,1.381292772728723,0.2097780513221678,0.2097780513221678,0.4849277394194927,0.4861603154044071,2.2889245641928304,47.04,6.3840320397083214,result.json,False,main_comparison_20260824_203442,2026-08-25 10:33
chain,fwdonly,ablation,fwdonly,3,0.14,0.7536666666666667,0.2389556999035984,1.5875806308437252,1.5263322493785272,0.2362700436327798,0.2362700436327798,-0.0544815637872567,-0.0491544902509274,66.59343954933678,45.58,6.295510149172874,result.json,False,main_comparison_20260824_203442,2026-08-25 11:19
