dag,algorithm,variant,seed,status,D_succ,D_all,E_succ,E_all,AppTO,TaskTO,UtilityScore_succ,UtilityScore_all,ckpt_used,elapsed_sec,wall_sec
chain,HybridPSOGA,HybridPSOGA,1,ok,1.276202649012153,1.260141033117524,0.22713839310223585,0.22713839310223585,4.0,65.16666666666666,0.6603556130944601,0.6607942264947093,n/a (heuristic),1.4,1.4
chain,HybridPSOGA,HybridPSOGA,3,ok,1.6288822486908583,1.5409587575042107,0.24411458702837668,0.24411458702837668,18.666666666666668,73.96666666666667,-0.08785608930948469,-0.08362755381115473,n/a (heuristic),1.3,1.3
chain,HybridPSOGA,HybridPSOGA,42,ok,1.1017301181524295,1.1009852506980802,0.21087728080240856,0.21087728080240856,0.0,63.63333333333333,0.7042180478265742,0.704236238764836,n/a (heuristic),1.2,1.2
chain,HybridPSOGA,HybridPSOGA,5,ok,1.6867186965271708,1.5788728874348543,0.21330506693136408,0.21330506693136408,22.666666666666664,78.4,-0.34646739129131415,-0.3418612246223695,n/a (heuristic),1.5,1.5
chain,HybridPSOGA,HybridPSOGA,7,ok,1.1162867116081923,1.1152028887867498,0.21285123984585316,0.21285123984585316,0.0,59.199999999999996,0.7072021258472881,0.7072283731894426,n/a (heuristic),1.2,1.2
default,HybridPSOGA,HybridPSOGA,1,ok,1.2183253784021946,1.1948268102897992,0.21931960315211257,0.21931960315211257,10.0,63.63333333333333,0.46992226678648946,0.4708088778807998,n/a (heuristic),1.2,1.2
default,HybridPSOGA,HybridPSOGA,3,ok,1.4924410643561723,1.410008973267218,0.23749482229106633,0.23749482229106633,25.333333333333336,72.93333333333332,-0.46195471074640143,-0.45880740411150445,n/a (heuristic),1.3,1.3
default,HybridPSOGA,HybridPSOGA,42,ok,1.1128682402251757,1.1090775420873387,0.21720041973514378,0.21720041973514378,0.0,65.43333333333334,0.7025812927803193,0.7026742813585444,n/a (heuristic),1.2,1.2
default,HybridPSOGA,HybridPSOGA,5,ok,1.470607143198516,1.4291778571678897,0.21032241310502775,0.21032241310502775,63.33333333333333,77.36666666666666,-0.6251322670093207,-0.6239079067237661,n/a (heuristic),1.2,1.2
default,HybridPSOGA,HybridPSOGA,7,ok,1.0918450574129008,1.0871291892152235,0.21132171676891262,0.21132171676891262,1.3333333333333335,59.266666666666666,0.6994982081326045,0.699614875750493,n/a (heuristic),1.2,1.2
wide,HybridPSOGA,HybridPSOGA,1,ok,0.3339616782042062,0.4280839290678285,0.1222163244151173,0.1222163244151173,6.666666666666667,30.841638981173862,0.6471802107502559,0.6471802107502559,n/a (heuristic),0.7,0.7
wide,HybridPSOGA,HybridPSOGA,3,ok,0.3207805693337024,0.47897172525341425,0.12770856803189043,0.12770856803189043,33.33333333333333,49.23349056603774,-0.441304978501047,-0.441304978501047,n/a (heuristic),0.6,0.6
wide,HybridPSOGA,HybridPSOGA,42,ok,0.3297060155510479,0.4541647822492668,0.13644199678545368,0.13644199678545368,6.0,34.59715639810427,0.6613532002646177,0.6613532002646177,n/a (heuristic),0.7,0.7
wide,HybridPSOGA,HybridPSOGA,5,ok,0.4001288898606669,0.524009451923115,0.1347212774782123,0.1347212774782123,51.33333333333333,61.06194690265486,-0.5367598348485247,-0.5367598348485247,n/a (heuristic),0.6,0.6
wide,HybridPSOGA,HybridPSOGA,7,ok,0.2930585020771962,0.44050726453810685,0.12412923879288976,0.12412923879288976,8.0,34.828629032258064,0.6015594943618963,0.6015594943618963,n/a (heuristic),0.7,0.7
